Round,Client,Client Accuracy,Global Accuracy
1,1,72.362%,48.807%
1,2,75.910%,48.807%
1,3,72.253%,48.807%
2,1,83.660%,87.852%
2,2,82.260%,87.852%
2,3,81.750%,87.852%
3,1,86.181%,91.540%
3,2,87.021%,91.540%
3,3,86.220%,91.540%
4,1,87.862%,90.022%
4,2,87.021%,90.022%
4,3,87.803%,90.022%
5,1,88.796%,92.191%
5,2,90.943%,92.191%
5,3,90.037%,92.191%
6,1,91.503%,91.323%
6,2,90.103%,91.323%
6,3,89.479%,91.323%
7,1,91.597%,92.625%
7,2,92.063%,92.625%
7,3,91.061%,92.625%
8,1,91.690%,94.794%
8,2,93.557%,94.794%
8,3,94.134%,94.794%
9,1,91.690%,94.360%
9,2,92.437%,94.360%
9,3,93.389%,94.360%
10,1,92.157%,94.143%
10,2,94.118%,94.143%
10,3,92.551%,94.143%
11,1,92.997%,94.143%
11,2,94.398%,94.143%
11,3,93.575%,94.143%
12,1,93.838%,93.709%
12,2,94.771%,93.709%
12,3,94.320%,93.709%
