Round,Client,Client Accuracy,Global Accuracy
1,1,73.576%,71.150%
1,2,72.269%,71.150%
1,3,74.209%,71.150%
2,1,81.606%,84.382%
2,2,80.579%,84.382%
2,3,80.540%,84.382%
3,1,84.407%,86.334%
3,2,85.528%,86.334%
3,3,83.985%,86.334%
4,1,86.181%,86.117%
4,2,85.808%,86.117%
4,3,86.220%,86.117%
5,1,87.021%,90.672%
5,2,88.422%,90.672%
5,3,86.872%,90.672%
6,1,86.461%,90.456%
6,2,89.449%,90.456%
6,3,88.920%,90.456%
7,1,88.422%,91.323%
7,2,90.383%,91.323%
7,3,90.223%,91.323%
8,1,88.702%,92.625%
8,2,90.663%,92.625%
8,3,89.385%,92.625%
9,1,89.916%,94.143%
9,2,90.943%,94.143%
9,3,89.292%,94.143%
10,1,89.916%,93.709%
10,2,91.783%,93.709%
10,3,91.620%,93.709%
11,1,90.663%,90.889%
11,2,91.690%,90.889%
11,3,89.385%,90.889%
12,1,91.223%,93.275%
12,2,91.690%,93.275%
12,3,91.713%,93.275%
