Round,Client,Client Accuracy,Global Accuracy,
1,1,76.844%,85.683%,
1,2,75.724%,85.683%,
1,3,74.860%,85.683%,
2,1,84.407%,88.069%,
2,2,83.754%,88.069%,
2,3,84.078%,88.069%,
3,1,84.687%,88.286%,
3,2,85.808%,88.286%,
3,3,85.568%,88.286%,
4,1,86.088%,91.323%,
4,2,88.702%,91.323%,
4,3,89.013%,91.323%,
5,1,89.916%,92.625%,
5,2,89.356%,92.625%,
5,3,89.572%,92.625%,
6,1,90.476%,93.492%,
6,2,91.130%,93.492%,
6,3,91.341%,93.492%,
7,1,91.783%,94.143%,
7,2,90.289%,94.143%,
7,3,91.341%,94.143%,
8,1,92.810%,93.926%,
8,2,91.503%,93.926%,
8,3,93.203%,93.926%,
9,1,92.437%,93.926%,
9,2,91.970%,93.926%,
9,3,92.179%,93.926%,
10,1,93.744%,94.143%,
10,2,94.118%,94.143%,
10,3,92.644%,94.143%,
11,1,92.624%,95.228%,
11,2,94.024%,95.228%,
11,3,92.737%,95.228%,
12,1,94.398%,91.106%,
12,2,94.304%,91.106%,
12,3,92.458%,91.106%,
