Round,Client,Client Accuracy,Global Accuracy
1,1,69.697%,73.102%
1,2,69.602%,73.102%
1,3,70.481%,73.102%
2,1,73.864%,78.959%
2,2,73.201%,78.959%
2,3,75.096%,78.959%
3,1,78.220%,80.260%
3,2,76.894%,80.260%
3,3,76.989%,80.260%
4,1,77.596%,82.863%
4,2,78.125%,82.863%
4,3,77.746%,82.863%
5,1,79.640%,83.514%
5,2,78.462%,83.514%
5,3,79.735%,83.514%
6,1,80.587%,83.514%
6,2,78.269%,83.514%
6,3,80.192%,83.514%
7,1,79.356%,84.816%
7,2,82.500%,84.816%
7,3,79.167%,84.816%
8,1,79.924%,83.514%
8,2,79.356%,83.514%
8,3,80.682%,83.514%
9,1,82.670%,84.816%
9,2,79.545%,84.816%
9,3,80.587%,84.816%
10,1,83.523%,83.948%
10,2,80.208%,83.948%
10,3,81.731%,83.948%
11,1,81.827%,84.599%
11,2,81.534%,84.599%
11,3,80.303%,84.599%
12,1,80.000%,85.683%
12,2,81.345%,85.683%
12,3,82.404%,85.683%
