Round,Client,Client Accuracy,Global Accuracy,
1,1,75.962%,80.694%,
1,2,75.758%,80.694%,
1,3,74.811%,80.694%,
2,1,80.114%,84.382%,
2,2,78.788%,84.382%,
2,3,81.250%,84.382%,
3,1,80.777%,84.382%,
3,2,80.769%,84.382%,
3,3,80.114%,84.382%,
4,1,80.577%,84.382%,
4,2,81.155%,84.382%,
4,3,81.723%,84.382%,
5,1,81.534%,85.033%,
5,2,81.442%,85.033%,
5,3,81.534%,85.033%,
6,1,83.144%,85.683%,
6,2,82.670%,85.683%,
6,3,81.723%,85.683%,
7,1,83.333%,83.731%,
7,2,83.428%,83.731%,
7,3,82.481%,83.731%,
8,1,82.860%,84.599%,
8,2,84.186%,84.599%,
8,3,81.818%,84.599%,
9,1,82.008%,82.646%,
9,2,83.523%,82.646%,
9,3,83.144%,82.646%,
10,1,83.617%,81.562%,
10,2,83.617%,81.562%,
10,3,84.564%,81.562%,
11,1,83.617%,85.900%,
11,2,83.523%,85.900%,
11,3,82.386%,85.900%,
12,1,83.077%,86.985%,
12,2,85.795%,86.985%,
12,3,84.135%,86.985%,
